elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
64,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,6968,170,425
64,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,2192,47,133
64,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,2704,47,197
64,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,3736,71,258
64,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,3696,70,256
64,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,4088,112,175
64,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,7160,176,431
64,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,2264,49,136
64,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,2776,49,200
64,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,3640,69,252
64,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,3600,68,250
64,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,3768,102,165
64,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,6840,166,421
64,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,2264,49,136
64,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,2776,49,200
64,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,3632,66,261
64,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,3592,65,259
64,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,4088,112,175
64,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,7160,176,431
128,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,3640,73,236
128,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,4664,73,364
128,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,5360,86,419
128,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,5320,85,417
128,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,7544,204,331
128,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,13688,332,843
128,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,3712,75,239
128,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,4736,75,367
128,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,5280,84,415
128,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,5240,83,413
128,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,7544,204,331
128,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,13688,332,843
128,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,3784,77,242
128,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,4808,77,370
128,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,5624,91,438
128,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,5584,90,436
128,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,7736,210,337
128,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,13880,338,849
